Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,1.510000,1.520000,1.450000,1.520000,1.520000,66700
2019-02-05,1.530000,1.610000,1.510000,1.540000,1.540000,98900
2019-02-06,1.570000,1.600000,1.530000,1.600000,1.600000,32800
2019-02-07,1.580000,1.590000,1.530000,1.580000,1.580000,15800
2019-02-08,1.550000,1.580000,1.550000,1.550000,1.550000,29400
2019-02-11,1.570000,1.590000,1.550000,1.550000,1.550000,10700
2019-02-12,1.560000,1.670000,1.550000,1.600000,1.600000,247500
2019-02-13,1.660000,1.660000,1.550000,1.640000,1.640000,53500
2019-02-14,1.690000,1.690000,1.620000,1.670000,1.670000,40100
2019-02-15,1.650000,1.670000,1.570000,1.610000,1.610000,49800
2019-02-19,1.640000,1.640000,1.600000,1.630000,1.630000,21800
2019-02-20,1.630000,1.700000,1.600000,1.640000,1.640000,20900
2019-02-21,1.620000,1.670000,1.570000,1.620000,1.620000,25200
2019-02-22,1.660000,1.680000,1.640000,1.670000,1.670000,19800
2019-02-25,1.670000,1.700000,1.660000,1.680000,1.680000,13300
2019-02-26,1.660000,1.680000,1.650000,1.650000,1.650000,6900
2019-02-27,1.660000,1.680000,1.620000,1.640000,1.640000,10700
2019-02-28,1.620000,1.680000,1.600000,1.600000,1.600000,11300
2019-03-01,1.630000,1.640000,1.620000,1.620000,1.620000,3600
2019-03-04,1.650000,1.650000,1.610000,1.650000,1.650000,16700
2019-03-05,1.650000,1.680000,1.620000,1.650000,1.650000,31900
2019-03-06,1.630000,1.690000,1.630000,1.680000,1.680000,43700
2019-03-07,1.640000,1.680000,1.620000,1.620000,1.620000,16600
2019-03-08,1.620000,1.670000,1.570000,1.570000,1.570000,45500
2019-03-11,1.560000,1.600000,1.550000,1.570000,1.570000,25100
2019-03-12,1.550000,1.590000,1.540000,1.550000,1.550000,12500
2019-03-13,1.550000,1.600000,1.550000,1.550000,1.550000,23900
2019-03-14,1.540000,1.610000,1.520000,1.520000,1.520000,16700
2019-03-15,1.520000,1.550000,1.500000,1.500000,1.500000,11000
2019-03-18,1.500000,1.570000,1.500000,1.540000,1.540000,21200
2019-03-19,1.530000,1.600000,1.510000,1.510000,1.510000,29600
2019-03-20,1.530000,1.580000,1.500000,1.520000,1.520000,21700
2019-03-21,1.530000,1.530000,1.510000,1.510000,1.510000,13600
2019-03-22,1.510000,1.530000,1.510000,1.530000,1.530000,17700
